LoID,lat,long,Time,Location,Temp_Min,Temp_25th%,Temp_50th%,Temp_75th%,Temp_Max ,Turbidity_Min,Turbidity_25th%,Turbidity_50th%,Turbidity_75th%,Turbidity_Max ,Ecoli_Min,Ecoli_25th%,Ecoli_50th%,Ecoli_75th%,Ecoli_Max ,,,
5,-37.4713077,144.7851531,2012,"Dandenong Creek at Sheffield Road, Doongalla Forest",9.00 ,10.80 ,12.70 ,15.20 ,16.90 ,7.00 ,14.00 ,15.00 ,22.00 ,430.00 ,10.00 ,23.00 ,47.00 ,98.00 ,190.00 ,,,
5,-37.4713077,144.7851531,2011,"Dandenong Creek at Sheffield Road, Doongalla Forest",8.40 ,10.80 ,13.80 ,16.80 ,21.40 ,14.00 ,20.00 ,28.00 ,69.00 ,140.00 ,180.00 ,400.00 ,800.00 ,2500.00 ,11000.00 ,,,
5,-37.4713077,144.7851531,2010,"Dandenong Creek at Sheffield Road, Doongalla Forest",9.00 ,9.90 ,13.10 ,16.40 ,19.00 ,7.00 ,10.00 ,17.00 ,19.00 ,260.00 ,40.00 ,160.00 ,220.00 ,465.00 ,1100.00 ,,,
5,-37.4713077,144.7851531,2009,"Dandenong Creek at Sheffield Road, Doongalla Forest",8.90 ,9.60 ,12.00 ,14.00 ,16.10 ,7.00 ,9.00 ,11.00 ,14.00 ,24.00 ,10.00 ,10.00 ,60.00 ,280.00 ,1900.00 ,,,
6,-37.8628271,145.3536678,2013,"Dandenong Creek at Boronia Road, Wantirna",6.70 ,13.00 ,14.50 ,16.90 ,22.90 ,6.00 ,15.00 ,24.00 ,26.00 ,36.00 ,200.00 ,335.00 ,760.00 ,1450.00 ,3300.00 ,,,
6,-37.8628271,145.3536678,2012,"Dandenong Creek at Boronia Road, Wantirna",10.00 ,12.40 ,15.60 ,18.60 ,24.50 ,9.00 ,17.00 ,43.00 ,55.00 ,150.00 ,170.00 ,263.00 ,485.00 ,783.00 ,1500.00 ,,,
6,-37.8628271,145.3536678,2011,"Dandenong Creek at Boronia Road, Wantirna",8.50 ,11.70 ,16.90 ,17.40 ,22.50 ,28.00 ,42.00 ,54.00 ,68.00 ,89.00 ,180.00 ,240.00 ,420.00 ,670.00 ,9000.00 ,,,
6,-37.8628271,145.3536678,2010,"Dandenong Creek at Boronia Road, Wantirna",9.00 ,10.00 ,16.00 ,18.60 ,22.00 ,3.00 ,9.00 ,21.00 ,38.00 ,230.00 ,80.00 ,153.00 ,430.00 ,3000.00 ,20000.00 ,,,
6,-37.8628271,145.3536678,2009,"Dandenong Creek at Boronia Road, Wantirna",9.70 ,11.50 ,14.90 ,18.10 ,20.70 ,6.00 ,7.00 ,17.00 ,20.00 ,75.00 ,40.00 ,95.00 ,450.00 ,1425.00 ,2900.00 ,,,
7,-37.9585379,145.2256262,2013,"Dandenong Creek at Stud Road, Dandenong North",8.10 ,12.90 ,14.60 ,16.70 ,21.90 ,29.00 ,33.00 ,44.00 ,60.00 ,75.00 ,52.00 ,200.00 ,395.00 ,1125.00 ,3300.00 ,,,
